name;dateofbirth;dateofdeath;movement_label;country_label
Франц фон Байрос;1866;1924;Модерн;Австрия
Шарль Л'Эплатенье;1874;1946;Модерн;Швейцария
Альфонс Муха;1860;1939;Модерн;
Фердинанд Ходлер;1853;1918;;Швейцария
Оскар Цвинчер;1870;1916;Модерн;Германия
Обри Винсент Бёрдслей;1872;1898;;Великобритания
Микалоюс Константинас Чюрлёнис;1875;1911;Модерн;Российская империя
Штефан Лучиан;1868;1916;;Румыния
Хуан Луна;1857;1899;Академизм;Филиппины
Франц Ксавер Винтерхальтер;1805;1873;Академизм;Германская империя
Леон Жозеф Флорантен Бонна;1833;1922;Академизм;Франция
Войтех Гинайс;1854;1925;Академизм;Чехия
Джордж Фредерик Уоттс;1817;1904;Академизм;Великобритания
Генрих Ипполитович Семирадский;1843;1902;Академизм;Польша
Жан-Леон Жером;1824;1904;;Франция
Эмиль Байяр;1837;1891;Академизм;Франция
Этьен Проспер Берн-Белькур;1838;1910;Академизм;Франция
Элизабет Гарднер;1837;1922;Академизм;Соединённые Штаты Америки
Александр Кабанель;1823;1889;Академизм;Франция
Герман фон Каульбах;1846;1909;Академизм;Германия
Тома Кутюр;1815;1879;Академизм;Франция
Жан-Луи-Эрнест Месонье;1815;1891;Академизм;Франция
Жюль Жозеф Лефевр;1834;1912;Академизм;Королевство Франция
Миколаш Алеш;1852;1913;Академизм;Чехия
Фернан Кормон;1845;1924;Академизм;Франция
Константин Егорович Маковский;1839;1915;;Российская империя
Амели Бори-Сорель;1848;1924;Академизм;Франция
Вильям Бугро;1825;1905;;
Степан Владиславович Бакалович;1857;1947;Академизм;Польша
Пол Пил;1860;1892;;Канада
Рогир ван дер Вейден;1390;1464;Ранняя нидерландская живопись;Бургундские Нидерланды
Ян ван Эйк;1390;1441;Ранняя нидерландская живопись;Южные Нидерланды
Ганс Мемлинг;1435;1494;Ранняя нидерландская живопись;
Петрус Кристус;1410;1475;Ранняя нидерландская живопись;
Дирк Баутс;1415;1475;Ранняя нидерландская живопись;Королевство Нидерландов
Герард Давид;1450;1523;Ранняя нидерландская живопись;
Жан Старший Кузен;1500;1589;Высокий Ренессанс;Франция
Леонардо да Винчи;1452;1519;Высокий Ренессанс;Флорентийская республика
Андреа дель Сарто;1486;1530;Высокий Ренессанс;Италия
Микеланджело;1475;1564;;Флорентийская республика
Донато Браманте;1444;1514;Высокий Ренессанс;Италия
Джорджоне;1478;1510;Высокий Ренессанс;Италия
Франческо Пармиджанино;1503;1540;;Италия
Тициан;1490;1576;;Венецианская республика
