name;creator_label;movement_label;inception
Принцесса и обезьяна;Янис Розенталс;Модерн;1913
Истина, выбирающаяся из колодца;Жан-Леон Жером;Академизм;1896
Пигмалион и Галатея;Жан-Леон Жером;Академизм;1890
Приём Конде в Версале;Жан-Леон Жером;Академизм;1878
Арабский рынок наложниц;Жан-Леон Жером;;1866
Поклонение царей;Герард Давид;Ранняя нидерландская живопись;
Портрет пожилой женщины (картина Мемлинга, 1468—1470);Ганс Мемлинг;Ранняя нидерландская живопись;1475
Суд Камбиса;Герард Давид;Ранняя нидерландская живопись;1498
Портрет картузианца;Петрус Кристус;Ранняя нидерландская живопись;1446
Блаженные и проклятые;Иероним Босх;Ранняя нидерландская живопись;1490
Портрет пожилого мужчины;Ганс Мемлинг;Ранняя нидерландская живопись;1475
Портрет четы Арнольфини;Ян ван Эйк;Ранняя нидерландская живопись;1434
Сад земных наслаждений;Иероним Босх;Ранняя нидерландская живопись;1490
Дрезденский триптих;Ян ван Эйк;Ранняя нидерландская живопись;1437
Семь радостей Марии;Ганс Мемлинг;Ранняя нидерландская живопись;1480
Корабль дураков;Иероним Босх;Ранняя нидерландская живопись;1500
Сан Кристофоро;Тициан;;1523
Вэнити;Тициан;;1515
Виоланта;Тициан;;1515
Пир богов;;;1514
Мадонна фон дер Роппа;Рафаэль Санти;Высокий Ренессанс;1500
Рождение Адониса;Тициан;;1506
Не трогай меня;Андреа дель Сарто;Высокий Ренессанс;1510
Портрет Томмазо Мости;Тициан;;1520
Мона Лиза;Леонардо да Винчи;Высокий Ренессанс;1503
Женщина перед зеркалом;Кристоффер Вильхельм Эккерсберг;Неоклассицизм;1841
Форнарина;Рафаэль Санти;Высокий Ренессанс;1518
Мадонна Альба;Рафаэль Санти;Высокий Ренессанс;1511
Мадонна Диоталеви;Рафаэль Санти;Высокий Ренессанс;1503
Сикстинская мадонна;Рафаэль Санти;Высокий Ренессанс;1513
Спящая Венера;;;1510
Малое святое семейство;Рафаэль Санти;Высокий Ренессанс;1519
Сон рыцаря;Рафаэль Санти;Высокий Ренессанс;1503
Автопортрет;Каспар Давид Фридрих;Романтизм;1810
Мадонна Террануова;Рафаэль Санти;Высокий Ренессанс;1504
