name;starttime;endtime;followedby_label;follows_label
Модерн;;;Ар-деко;
Академизм;;;Ар-деко;
Ранняя нидерландская живопись;;1560;;
Высокий Ренессанс;1494;1527;Маньеризм;Раннее возрождение
Золотой век голландской живописи;;1699;;
Импрессионизм;;;Постимпрессионизм;
Прерафаэлиты;;;Постимпрессионизм;
Венецианская школа живописи;;;Постимпрессионизм;
Итальянское Возрождение;;;Постимпрессионизм;
Барокко;;1750;;
Романтизм;1800;1900;;
Рококо;1800;1900;;
Современное искусство;1800;1900;;
Неоклассицизм;1800;1900;;
Раннее Возрождение;;;Высокий ренессанс;Проторенессанс
Маньеризм;;1580;Барокко;Высокий ренессанс
Наивное искусство;;1580;Барокко;Высокий ренессанс
Ориентализм;;1580;Барокко;Высокий ренессанс
Реализм;1848;;;
Немецкое Возрождение;1848;;;
Барокко в живописи;;1700;;
Поп-арт;;1700;;
Сюрреализм;;1700;;
Классицизм;;1700;;
Экспрессионизм;;1700;;
Кубизм;;1700;;
Постимпрессионизм;;;;Импрессионизм
Школа реки Гудзон;;;;Импрессионизм
Абстрактный экспрессионизм;;;;Импрессионизм
Символизм;;;;Импрессионизм
Каталонский модернизм;;;;Импрессионизм
Проторенессанс;;;Раннее возрождение;
Американский импрессионизм;;;Раннее возрождение;
Модернизм;;;Раннее возрождение;
Пуантилизм;;;Раннее возрождение;
Супрематизм;;;Раннее возрождение;
Возрождение;1300;1700;Барокко;
Неопомпейский стиль;1300;1700;Барокко;
Итальянская живопись эпохи Возрождения;1300;1700;Барокко;
Вулканическая школа;1300;1700;Барокко;
Готика;;;Возрождение;
Кубофутуризм;;;Возрождение;
Живопись Ренессанса;;;Возрождение;
Натурализм;;;Возрождение;
